algo,n,type,comps,time_ns,time_us,time_ms
Bubble Sort,50,Random,1180,161283.76,161.28376,0.16128376
Selection Sort,50,Random,1225,106567.22,106.56722,0.10656722
Insertion Sort,50,Random,665,82571.82,82.57182,0.08257182
Bubble Sort,50,Sorted,49,3554.94,3.55494,0.00355494
Selection Sort,50,Sorted,1225,96631.82,96.63182,0.09663182000000001
Insertion Sort,50,Sorted,49,4723.94,4.72394,0.004723939999999999
Bubble Sort,50,Reverse,1225,148388.36,148.38835999999998,0.14838836
Selection Sort,50,Reverse,1225,73221.34,73.22134,0.07322134
Insertion Sort,50,Reverse,1225,125062.02,125.06202,0.12506202
Bubble Sort,100,Random,4872,511913.12,511.91312,0.51191312
Selection Sort,100,Random,4950,311637.6,311.63759999999996,0.31163759999999996
Insertion Sort,100,Random,2630,243364.24,243.36424,0.24336423999999998
Bubble Sort,100,Sorted,99,4561.84,4.56184,0.00456184
Selection Sort,100,Sorted,4950,320781.72,320.78171999999995,0.32078172
Insertion Sort,100,Sorted,99,9102.84,9.10284,0.009102840000000001
Bubble Sort,100,Reverse,4950,610078.46,610.07846,0.61007846
Selection Sort,100,Reverse,4950,345641.94,345.64194,0.34564194
Insertion Sort,100,Reverse,4950,547888.8,547.8888000000001,0.5478888000000001
Bubble Sort,200,Random,19710,1891446.1,1891.4461000000001,1.8914461
Selection Sort,200,Random,19900,1279056.45,1279.05645,1.27905645
Insertion Sort,200,Random,10321,1353971.2,1353.9712,1.3539712
Bubble Sort,200,Sorted,199,18891.7,18.8917,0.0188917
Selection Sort,200,Sorted,19900,1363800.8,1363.8008,1.3638008000000001
Insertion Sort,200,Sorted,199,26682.5,26.6825,0.0266825
Bubble Sort,200,Reverse,19900,4687578.8,4687.5788,4.6875788
Selection Sort,200,Reverse,19900,2072766.6,2072.7666,2.0727666
Insertion Sort,200,Reverse,19900,3248375.85,3248.37585,3.24837585
Bubble Sort,500,Random,124372,21695782.9,21695.7829,21.695782899999998
Selection Sort,500,Random,124750,10006680.4,10006.680400000001,10.0066804
Insertion Sort,500,Random,59942,6654908.9,6654.9089,6.654908900000001
Bubble Sort,500,Sorted,499,49901.4,49.9014,0.0499014
Selection Sort,500,Sorted,124750,10707741.9,10707.7419,10.7077419
Insertion Sort,500,Sorted,499,65267.5,65.2675,0.0652675
Bubble Sort,500,Reverse,124750,25346806.7,25346.8067,25.3468067
Selection Sort,500,Reverse,124750,13102140.0,13102.14,13.10214
Insertion Sort,500,Reverse,124750,16159175.9,16159.1759,16.1591759
