operation,size,n,complexity,time_ns,time_us,time_ms
Matrix Addition,10x10,10,O(n^2),15623.828,15.623828,0.015623828
Matrix Transpose,10x10,10,O(n^2),7531.064,7.531064000000001,0.0075310640000000005
Matrix Multiplication,10x10,10,O(n^3),116962.155,116.962155,0.116962155
Matrix Addition,50x50,50,O(n^2),196349.144,196.349144,0.196349144
Matrix Transpose,50x50,50,O(n^2),107698.164,107.698164,0.107698164
Matrix Multiplication,50x50,50,O(n^3),9940844.6,9940.8446,9.9408446
Matrix Addition,100x100,100,O(n^2),752546.96,752.54696,0.75254696
Matrix Transpose,100x100,100,O(n^2),421643.33,421.64333,0.42164333000000004
Matrix Multiplication,100x100,100,O(n^3),76734804.6,76734.80459999999,76.73480459999999
Matrix Addition,200x200,200,O(n^2),2917435.1,2917.4351,2.9174351
Matrix Transpose,200x200,200,O(n^2),1568242.95,1568.24295,1.56824295
Matrix Multiplication,200x200,200,O(n^3),790697128.5,790697.1285,790.6971285
Matrix Addition,500x500,500,O(n^2),20004172.8,20004.1728,20.0041728
Matrix Transpose,500x500,500,O(n^2),11939322.2,11939.322199999999,11.9393222
Matrix Multiplication,500x500,500,O(n^3),11450039493.0,11450039.493,11450.039493
